StartTime,EndTime,HeatDemand,ElectricityPrice
2023-07-08T00:00:00.0000000,2023-07-08T01:00:00.0000000,"1,79","752,03"
2023-07-08T01:00:00.0000000,2023-07-08T02:00:00.0000000,"1,85","691,05"
2023-07-08T02:00:00.0000000,2023-07-08T03:00:00.0000000,"1,76","674,78"
2023-07-08T03:00:00.0000000,2023-07-08T04:00:00.0000000,"1,67","652,95"
2023-07-08T04:00:00.0000000,2023-07-08T05:00:00.0000000,"1,73","666,3"
2023-07-08T05:00:00.0000000,2023-07-08T06:00:00.0000000,"1,79","654,6"
2023-07-08T06:00:00.0000000,2023-07-08T07:00:00.0000000,"1,82","637,05"
2023-07-08T07:00:00.0000000,2023-07-08T08:00:00.0000000,"1,81","639,45"
2023-07-08T08:00:00.0000000,2023-07-08T09:00:00.0000000,"1,84","628,28"
2023-07-08T09:00:00.0000000,2023-07-08T10:00:00.0000000,"1,88","570,3"
2023-07-08T10:00:00.0000000,2023-07-08T11:00:00.0000000,2,"456,75"
2023-07-08T11:00:00.0000000,2023-07-08T12:00:00.0000000,"1,86","347,4"
2023-07-08T12:00:00.0000000,2023-07-08T13:00:00.0000000,"1,78","264,15"
2023-07-08T13:00:00.0000000,2023-07-08T14:00:00.0000000,"1,6","125,33"
2023-07-08T14:00:00.0000000,2023-07-08T15:00:00.0000000,"1,57","125,48"
2023-07-08T15:00:00.0000000,2023-07-08T16:00:00.0000000,"1,55",300
2023-07-08T16:00:00.0000000,2023-07-08T17:00:00.0000000,"1,57","456,75"
2023-07-08T17:00:00.0000000,2023-07-08T18:00:00.0000000,"1,53","625,5"
2023-07-08T18:00:00.0000000,2023-07-08T19:00:00.0000000,"1,52","804,75"
2023-07-08T19:00:00.0000000,2023-07-08T20:00:00.0000000,"1,5","907,5"
2023-07-08T20:00:00.0000000,2023-07-08T21:00:00.0000000,"1,5","965,7"
2023-07-08T21:00:00.0000000,2023-07-08T22:00:00.0000000,"1,48","996,45"
2023-07-08T22:00:00.0000000,2023-07-08T23:00:00.0000000,"1,51","972,9"
2023-07-08T23:00:00.0000000,2023-07-09T00:00:00.0000000,"1,55","869,4"
2023-07-09T00:00:00.0000000,2023-07-09T01:00:00.0000000,"1,54","820,8"
2023-07-09T01:00:00.0000000,2023-07-09T02:00:00.0000000,"1,47","763,05"
2023-07-09T02:00:00.0000000,2023-07-09T03:00:00.0000000,"1,41","763,65"
2023-07-09T03:00:00.0000000,2023-07-09T04:00:00.0000000,"1,43","715,8"
2023-07-09T04:00:00.0000000,2023-07-09T05:00:00.0000000,"1,43","718,43"
2023-07-09T05:00:00.0000000,2023-07-09T06:00:00.0000000,"1,45","726,9"
2023-07-09T06:00:00.0000000,2023-07-09T07:00:00.0000000,"1,47","710,1"
2023-07-09T07:00:00.0000000,2023-07-09T08:00:00.0000000,"1,5",684
2023-07-09T08:00:00.0000000,2023-07-09T09:00:00.0000000,"1,62","646,8"
2023-07-09T09:00:00.0000000,2023-07-09T10:00:00.0000000,"1,7","578,33"
2023-07-09T10:00:00.0000000,2023-07-09T11:00:00.0000000,"1,74","450,9"
2023-07-09T11:00:00.0000000,2023-07-09T12:00:00.0000000,"1,68","375,9"
2023-07-09T12:00:00.0000000,2023-07-09T13:00:00.0000000,"1,58","342,68"
2023-07-09T13:00:00.0000000,2023-07-09T14:00:00.0000000,"1,45","277,43"
2023-07-09T14:00:00.0000000,2023-07-09T15:00:00.0000000,"1,43","336,38"
2023-07-09T15:00:00.0000000,2023-07-09T16:00:00.0000000,"1,42","413,63"
2023-07-09T16:00:00.0000000,2023-07-09T17:00:00.0000000,"1,47","547,35"
2023-07-09T17:00:00.0000000,2023-07-09T18:00:00.0000000,"1,46",618
2023-07-09T18:00:00.0000000,2023-07-09T19:00:00.0000000,"1,5","783,08"
2023-07-09T19:00:00.0000000,2023-07-09T20:00:00.0000000,"1,5","916,58"
2023-07-09T20:00:00.0000000,2023-07-09T21:00:00.0000000,"1,44",990
2023-07-09T21:00:00.0000000,2023-07-09T22:00:00.0000000,"1,45","1005,75"
2023-07-09T22:00:00.0000000,2023-07-09T23:00:00.0000000,"1,44","990,9"
2023-07-09T23:00:00.0000000,2023-07-10T00:00:00.0000000,"1,47",897
2023-07-10T00:00:00.0000000,2023-07-10T01:00:00.0000000,"1,4","843,68"
2023-07-10T01:00:00.0000000,2023-07-10T02:00:00.0000000,"1,32",765
2023-07-10T02:00:00.0000000,2023-07-10T03:00:00.0000000,"1,28","707,25"
2023-07-10T03:00:00.0000000,2023-07-10T04:00:00.0000000,"1,33","689,55"
2023-07-10T04:00:00.0000000,2023-07-10T05:00:00.0000000,"1,35","699,83"
2023-07-10T05:00:00.0000000,2023-07-10T06:00:00.0000000,"1,35","788,55"
2023-07-10T06:00:00.0000000,2023-07-10T07:00:00.0000000,"1,42","912,53"
2023-07-10T07:00:00.0000000,2023-07-10T08:00:00.0000000,"1,49","995,85"
2023-07-10T08:00:00.0000000,2023-07-10T09:00:00.0000000,"1,55","1007,03"
2023-07-10T09:00:00.0000000,2023-07-10T10:00:00.0000000,"1,58","884,63"
2023-07-10T10:00:00.0000000,2023-07-10T11:00:00.0000000,"1,68","789,6"
2023-07-10T11:00:00.0000000,2023-07-10T12:00:00.0000000,"1,73","712,43"
2023-07-10T12:00:00.0000000,2023-07-10T13:00:00.0000000,"1,68","669,23"
2023-07-10T13:00:00.0000000,2023-07-10T14:00:00.0000000,"1,62","601,2"
2023-07-10T14:00:00.0000000,2023-07-10T15:00:00.0000000,"1,51","483,53"
2023-07-10T15:00:00.0000000,2023-07-10T16:00:00.0000000,"1,53","463,58"
2023-07-10T16:00:00.0000000,2023-07-10T17:00:00.0000000,"1,46","472,05"
2023-07-10T17:00:00.0000000,2023-07-10T18:00:00.0000000,"1,51","602,7"
2023-07-10T18:00:00.0000000,2023-07-10T19:00:00.0000000,"1,55","914,78"
2023-07-10T19:00:00.0000000,2023-07-10T20:00:00.0000000,"1,53","1241,18"
2023-07-10T20:00:00.0000000,2023-07-10T21:00:00.0000000,"1,5","1319,18"
2023-07-10T21:00:00.0000000,2023-07-10T22:00:00.0000000,"1,49","1350,53"
2023-07-10T22:00:00.0000000,2023-07-10T23:00:00.0000000,"1,47","1221,9"
2023-07-10T23:00:00.0000000,2023-07-11T00:00:00.0000000,"1,57","1002,75"
2023-07-11T00:00:00.0000000,2023-07-11T01:00:00.0000000,"1,53","933,08"
2023-07-11T01:00:00.0000000,2023-07-11T02:00:00.0000000,"1,54","868,05"
2023-07-11T02:00:00.0000000,2023-07-11T03:00:00.0000000,"1,42","789,68"
2023-07-11T03:00:00.0000000,2023-07-11T04:00:00.0000000,"1,46","755,1"
2023-07-11T04:00:00.0000000,2023-07-11T05:00:00.0000000,"1,48","747,75"
2023-07-11T05:00:00.0000000,2023-07-11T06:00:00.0000000,"1,56","845,55"
2023-07-11T06:00:00.0000000,2023-07-11T07:00:00.0000000,"1,6","926,63"
2023-07-11T07:00:00.0000000,2023-07-11T08:00:00.0000000,"1,68","940,43"
2023-07-11T08:00:00.0000000,2023-07-11T09:00:00.0000000,"1,8","907,13"
2023-07-11T09:00:00.0000000,2023-07-11T10:00:00.0000000,"1,78","788,25"
2023-07-11T10:00:00.0000000,2023-07-11T11:00:00.0000000,"1,83","686,78"
2023-07-11T11:00:00.0000000,2023-07-11T12:00:00.0000000,"1,92","489,38"
2023-07-11T12:00:00.0000000,2023-07-11T13:00:00.0000000,"1,93","422,85"
2023-07-11T13:00:00.0000000,2023-07-11T14:00:00.0000000,"1,91","347,93"
2023-07-11T14:00:00.0000000,2023-07-11T15:00:00.0000000,"1,72","355,43"
2023-07-11T15:00:00.0000000,2023-07-11T16:00:00.0000000,"1,64","434,1"
2023-07-11T16:00:00.0000000,2023-07-11T17:00:00.0000000,"1,59",510
2023-07-11T17:00:00.0000000,2023-07-11T18:00:00.0000000,"1,53","698,4"
2023-07-11T18:00:00.0000000,2023-07-11T19:00:00.0000000,"1,61",855
2023-07-11T19:00:00.0000000,2023-07-11T20:00:00.0000000,"1,69","1061,63"
2023-07-11T20:00:00.0000000,2023-07-11T21:00:00.0000000,"1,65","1200,15"
2023-07-11T21:00:00.0000000,2023-07-11T22:00:00.0000000,"1,62","1005,68"
2023-07-11T22:00:00.0000000,2023-07-11T23:00:00.0000000,"1,56","892,5"
2023-07-11T23:00:00.0000000,2023-07-12T00:00:00.0000000,"1,62","772,73"
2023-07-12T00:00:00.0000000,2023-07-12T01:00:00.0000000,"1,7","738,53"
2023-07-12T01:00:00.0000000,2023-07-12T02:00:00.0000000,"1,66","682,5"
2023-07-12T02:00:00.0000000,2023-07-12T03:00:00.0000000,"1,62",675
2023-07-12T03:00:00.0000000,2023-07-12T04:00:00.0000000,"1,55","615,68"
2023-07-12T04:00:00.0000000,2023-07-12T05:00:00.0000000,"1,58","580,5"
2023-07-12T05:00:00.0000000,2023-07-12T06:00:00.0000000,"1,61",570
2023-07-12T06:00:00.0000000,2023-07-12T07:00:00.0000000,"1,66","661,65"
2023-07-12T07:00:00.0000000,2023-07-12T08:00:00.0000000,"1,75","865,5"
2023-07-12T08:00:00.0000000,2023-07-12T09:00:00.0000000,"1,78",900
2023-07-12T09:00:00.0000000,2023-07-12T10:00:00.0000000,"1,76","767,48"
2023-07-12T10:00:00.0000000,2023-07-12T11:00:00.0000000,"1,76","622,5"
2023-07-12T11:00:00.0000000,2023-07-12T12:00:00.0000000,"1,94","380,78"
2023-07-12T12:00:00.0000000,2023-07-12T13:00:00.0000000,"1,86","119,03"
2023-07-12T13:00:00.0000000,2023-07-12T14:00:00.0000000,"1,79","96,9"
2023-07-12T14:00:00.0000000,2023-07-12T15:00:00.0000000,"1,62","144,98"
2023-07-12T15:00:00.0000000,2023-07-12T16:00:00.0000000,"1,55","202,73"
2023-07-12T16:00:00.0000000,2023-07-12T17:00:00.0000000,"1,55","221,18"
2023-07-12T17:00:00.0000000,2023-07-12T18:00:00.0000000,"1,53","328,65"
2023-07-12T18:00:00.0000000,2023-07-12T19:00:00.0000000,"1,56","375,45"
2023-07-12T19:00:00.0000000,2023-07-12T20:00:00.0000000,"1,59","601,95"
2023-07-12T20:00:00.0000000,2023-07-12T21:00:00.0000000,"1,61","1043,25"
2023-07-12T21:00:00.0000000,2023-07-12T22:00:00.0000000,"1,61",939
2023-07-12T22:00:00.0000000,2023-07-12T23:00:00.0000000,"1,67","945,08"
2023-07-12T23:00:00.0000000,2023-07-13T00:00:00.0000000,"1,66","854,33"
2023-07-13T00:00:00.0000000,2023-07-13T01:00:00.0000000,"1,67","786,9"
2023-07-13T01:00:00.0000000,2023-07-13T02:00:00.0000000,"1,65","642,45"
2023-07-13T02:00:00.0000000,2023-07-13T03:00:00.0000000,"1,6","592,5"
2023-07-13T03:00:00.0000000,2023-07-13T04:00:00.0000000,"1,55","563,18"
2023-07-13T04:00:00.0000000,2023-07-13T05:00:00.0000000,"1,6",570
2023-07-13T05:00:00.0000000,2023-07-13T06:00:00.0000000,"1,68","663,83"
2023-07-13T06:00:00.0000000,2023-07-13T07:00:00.0000000,"1,71","766,73"
2023-07-13T07:00:00.0000000,2023-07-13T08:00:00.0000000,"1,78","828,53"
2023-07-13T08:00:00.0000000,2023-07-13T09:00:00.0000000,"2,04","893,25"
2023-07-13T09:00:00.0000000,2023-07-13T10:00:00.0000000,"2,02","652,2"
2023-07-13T10:00:00.0000000,2023-07-13T11:00:00.0000000,"1,8","365,78"
2023-07-13T11:00:00.0000000,2023-07-13T12:00:00.0000000,"1,73","356,93"
2023-07-13T12:00:00.0000000,2023-07-13T13:00:00.0000000,"1,72","370,43"
2023-07-13T13:00:00.0000000,2023-07-13T14:00:00.0000000,"1,62","348,75"
2023-07-13T14:00:00.0000000,2023-07-13T15:00:00.0000000,"1,62","348,75"
2023-07-13T15:00:00.0000000,2023-07-13T16:00:00.0000000,"1,67","350,63"
2023-07-13T16:00:00.0000000,2023-07-13T17:00:00.0000000,"1,61","338,03"
2023-07-13T17:00:00.0000000,2023-07-13T18:00:00.0000000,"1,65","351,98"
2023-07-13T18:00:00.0000000,2023-07-13T19:00:00.0000000,"1,65","417,68"
2023-07-13T19:00:00.0000000,2023-07-13T20:00:00.0000000,"1,67","867,23"
2023-07-13T20:00:00.0000000,2023-07-13T21:00:00.0000000,"1,68","981,45"
2023-07-13T21:00:00.0000000,2023-07-13T22:00:00.0000000,"1,62","1034,18"
2023-07-13T22:00:00.0000000,2023-07-13T23:00:00.0000000,"1,61","972,53"
2023-07-13T23:00:00.0000000,2023-07-14T00:00:00.0000000,"1,7","882,9"
2023-07-14T00:00:00.0000000,2023-07-14T01:00:00.0000000,"1,71","757,5"
2023-07-14T01:00:00.0000000,2023-07-14T02:00:00.0000000,"1,75","722,7"
2023-07-14T02:00:00.0000000,2023-07-14T03:00:00.0000000,"1,66","634,13"
2023-07-14T03:00:00.0000000,2023-07-14T04:00:00.0000000,"1,64","626,85"
2023-07-14T04:00:00.0000000,2023-07-14T05:00:00.0000000,"1,7","700,13"
2023-07-14T05:00:00.0000000,2023-07-14T06:00:00.0000000,"1,78","745,13"
2023-07-14T06:00:00.0000000,2023-07-14T07:00:00.0000000,"1,8",855
2023-07-14T07:00:00.0000000,2023-07-14T08:00:00.0000000,"1,78",855
2023-07-14T08:00:00.0000000,2023-07-14T09:00:00.0000000,"1,82","778,2"
2023-07-14T09:00:00.0000000,2023-07-14T10:00:00.0000000,"1,9","638,03"
2023-07-14T10:00:00.0000000,2023-07-14T11:00:00.0000000,"1,86","597,83"
2023-07-14T11:00:00.0000000,2023-07-14T12:00:00.0000000,"1,88","572,93"
2023-07-14T12:00:00.0000000,2023-07-14T13:00:00.0000000,"1,83","553,5"
2023-07-14T13:00:00.0000000,2023-07-14T14:00:00.0000000,"1,76","523,88"
2023-07-14T14:00:00.0000000,2023-07-14T15:00:00.0000000,"1,63","563,48"
2023-07-14T15:00:00.0000000,2023-07-14T16:00:00.0000000,"1,57","582,75"
2023-07-14T16:00:00.0000000,2023-07-14T17:00:00.0000000,"1,55","581,63"
2023-07-14T17:00:00.0000000,2023-07-14T18:00:00.0000000,"1,54","730,95"
2023-07-14T18:00:00.0000000,2023-07-14T19:00:00.0000000,"1,56","864,38"
2023-07-14T19:00:00.0000000,2023-07-14T20:00:00.0000000,"1,56","1051,43"
2023-07-14T20:00:00.0000000,2023-07-14T21:00:00.0000000,"1,59","1049,4"
2023-07-14T21:00:00.0000000,2023-07-14T22:00:00.0000000,"1,57","929,4"
2023-07-14T22:00:00.0000000,2023-07-14T23:00:00.0000000,"1,55","714,38"
2023-07-14T23:00:00.0000000,2023-07-15T00:00:00.0000000,"1,62","607,05"
